api_fullname;api_lib_id;lib_name;query;query_rank;didactic;loc;tokens;tokens_density;comments;comments_ratio;readability;reusability;api_count;api_ratio;cosine_sim;soft_cosine_sim
com.google.common.collect.Lists.reverse;2;GoogleGuava;Lists reverse;4;1;5;23;4.6;0;0.0;0.59;1.0;3;0.13;0.34;0.67
com.google.common.collect.Lists.reverse;3;GoogleGuava;Lists reverse;3;1;10;31;3.1;1;0.1;0.53;1.0;6;0.19;0.59;0.68
com.google.common.collect.Lists.reverse;4;GoogleGuava;Lists reverse;9;1;5;21;4.2;1;0.2;0.47;1.0;2;0.1;0.25;0.41
com.google.common.collect.Lists.reverse;5;GoogleGuava;Lists reverse;2;1;16;63;3.94;7;0.44;0.81;1.0;6;0.1;0.35;0.58
com.google.common.collect.Lists.reverse;6;GoogleGuava;Lists reverse;8;0;19;51;2.68;0;0.0;0.72;0.25;2;0.04;0.13;0.12
com.google.common.collect.Lists.reverse;7;GoogleGuava;Lists reverse;10;0;11;20;1.82;0;0.0;0.64;0.5;2;0.1;0.21;0.21
com.google.common.collect.Lists.reverse;8;GoogleGuava;Lists reverse;6;0;13;55;4.23;0;0.0;0.22;1.0;2;0.04;0.12;0.15
com.google.common.collect.Lists.reverse;9;GoogleGuava;Lists reverse;5;0;29;80;2.76;0;0.0;0.08;0.62;2;0.02;0.08;0.13
com.google.common.collect.Lists.reverse;10;GoogleGuava;Lists reverse;7;0;13;33;2.54;0;0.0;0.51;1.0;2;0.06;0.16;0.21
com.google.common.collect.Sets.cartesianProduct;1;GoogleGuava;Sets cartesianProduct;8;1;14;54;3.86;0;0.0;0.07;1.0;2;0.04;0.12;0.25
com.google.common.collect.Sets.cartesianProduct;2;GoogleGuava;Sets cartesianProduct;6;1;7;41;5.86;2;0.29;0.56;1.0;2;0.05;0.14;0.25
com.google.common.collect.Sets.cartesianProduct;3;GoogleGuava;Sets cartesianProduct;2;1;11;49;4.45;0;0.0;0.39;1.0;6;0.12;0.33;0.35
com.google.common.collect.Sets.cartesianProduct;4;GoogleGuava;Sets cartesianProduct;4;1;10;44;4.4;1;0.1;0.27;1.0;2;0.05;0.12;0.3
com.google.common.collect.Sets.cartesianProduct;5;GoogleGuava;Sets cartesianProduct;9;1;20;81;4.05;4;0.2;0.38;1.0;13;0.16;0.45;0.67
com.google.common.collect.Sets.cartesianProduct;6;GoogleGuava;Sets cartesianProduct;1;0;15;61;4.07;0;0.0;0.06;1.0;8;0.13;0.38;0.59
com.google.common.collect.Sets.cartesianProduct;7;GoogleGuava;Sets cartesianProduct;3;0;8;27;3.38;0;0.0;0.55;1.0;2;0.07;0.17;0.65
com.google.common.collect.Sets.cartesianProduct;8;GoogleGuava;Sets cartesianProduct;10;0;17;61;3.59;0;0.0;0.07;1.0;8;0.13;0.38;0.59
com.google.common.collect.Sets.cartesianProduct;9;GoogleGuava;Sets cartesianProduct;7;0;9;45;5.0;0;0.0;0.04;0.71;2;0.04;0.13;0.27
com.google.common.collect.Sets.cartesianProduct;10;GoogleGuava;Sets cartesianProduct;5;0;11;35;3.18;0;0.0;0.33;0.89;4;0.11;0.34;0.43
com.google.common.collect.Sets.difference;1;GoogleGuava;Sets difference;2;1;26;71;2.73;6;0.23;0.96;1.0;9;0.13;0.41;0.63
com.google.common.collect.Sets.difference;2;GoogleGuava;Sets difference;3;1;7;26;3.71;3;0.43;0.72;1.0;5;0.19;0.5;0.59
com.google.common.collect.Sets.difference;3;GoogleGuava;Sets difference;1;1;12;59;4.92;2;0.17;0.50;1.0;2;0.03;0.12;0.25
com.google.common.collect.Sets.difference;4;GoogleGuava;Sets difference;5;1;5;20;4.0;0;0.0;0.52;1.0;4;0.2;0.45;0.6
com.google.common.collect.Sets.difference;5;GoogleGuava;Sets difference;4;1;16;66;4.12;0;0.0;0.61;1.0;7;0.11;0.28;0.28
com.google.common.collect.Sets.difference;6;GoogleGuava;Sets difference;9;0;20;119;5.95;0;0.0;0.00;0.8;5;0.04;0.2;0.38
com.google.common.collect.Sets.difference;7;GoogleGuava;Sets difference;10;0;19;71;3.74;2;0.11;0.52;0.67;2;0.03;0.07;0.14
com.google.common.collect.Sets.difference;8;GoogleGuava;Sets difference;7;0;13;65;5.0;0;0.0;0.16;0.75;6;0.09;0.25;0.31
com.google.common.collect.Sets.difference;9;GoogleGuava;Sets difference;6;0;21;68;3.24;0;0.0;0.21;0.83;7;0.1;0.37;0.47
com.google.common.collect.Sets.difference;10;GoogleGuava;Sets difference;8;0;21;83;3.95;0;0.0;0.15;0.83;4;0.05;0.17;0.28
com.google.common.collect.Sets.intersection;1;GoogleGuava;Sets intersection;3;1;6;23;3.83;0;0.0;0.44;1.0;4;0.17;0.4;0.57
com.google.common.collect.Sets.intersection;2;GoogleGuava;Sets intersection;1;1;22;71;3.23;5;0.23;0.94;1.0;8;0.11;0.38;0.62
